"행정구역(동읍면)별","5세별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"용산구","95 - 99세","총인구수[명]","명","247","264","312","365","400","434","278","232","265",
"용산구","95 - 99세","남자인구수[명]","명","90","102","115","138","155","157","85","56","67",
"용산구","95 - 99세","여자인구수[명]","명","157","162","197","227","245","277","193","176","198",
"용산구","100+","총인구수[명]","명","289","315","312","337","353","371","71","40","56",
"용산구","100+","남자인구수[명]","명","81","88","84","91","98","107","20","6","12",
"용산구","100+","여자인구수[명]","명","208","227","228","246","255","264","51","34","44",
"성동구","15 - 19세","총인구수[명]","명","14986","14191","13559","12808","11859","10698","9905","9839","9511",
"성동구","15 - 19세","남자인구수[명]","명","7557","7194","6798","6320","5856","5262","4838","4812","4732",
"성동구","15 - 19세","여자인구수[명]","명","7429","6997","6761","6488","6003","5436","5067","5027","4779",
"성동구","20 - 24세","총인구수[명]","명","20956","20813","21011","21164","20347","19590","18539","17823","17016",
"성동구","20 - 24세","남자인구수[명]","명","10803","10609","10532","10357","9903","9447","8908","8543","8001",
"성동구","20 - 24세","여자인구수[명]","명","10153","10204","10479","10807","10444","10143","9631","9280","9015",
"성동구","25 - 29세","총인구수[명]","명","22716","23383","24929","25733","25638","25453","24924","24315","23963",
"성동구","25 - 29세","남자인구수[명]","명","11418","11848","12634","12909","12856","12824","12487","12122","11820",
"성동구","25 - 29세","여자인구수[명]","명","11298","11535","12295","12824","12782","12629","12437","12193","12143",
"성동구","30 - 34세","총인구수[명]","명","26070","25507","25124","25248","24419","23676","23247","23353","23946",
"성동구","30 - 34세","남자인구수[명]","명","12915","12692","12350","12272","11748","11327","11157","11248","11662",
"성동구","30 - 34세","여자인구수[명]","명","13155","12815","12774","12976","12671","12349","12090","12105","12284",
"성동구","35 - 39세","총인구수[명]","명","25124","25979","27272","28111","26545","25229","23568","22317","21718",
"성동구","35 - 39세","남자인구수[명]","명","12905","13154","13787","14195","13374","12705","11875","11070","10695",
"성동구","35 - 39세","여자인구수[명]","명","12219","12825","13485","13916","13171","12524","11693","11247","11023",
