시도별,농업·임업 및 어업/사업체,농업·임업 및 어업/종사자,광업/사업체,광업/종사자,제조업/사업체,제조업/종사자,전기·가스·증기 및 공기조절 공급업/사업체,전기·가스·증기 및 공기조절 공급업/종사자,수도 하수 및 폐기물처리 원료 재생업/사업체,수도 하수 및 폐기물처리 원료 재생업/종사자,건설업/사업체,건설업/종사자,도매 및 소매업/사업체,도매 및 소매업/종사자,운수 및 창고업/사업체,운수 및 창고업/종사자,숙박 및 음식점업/사업체,숙박 및 음식점업/종사자,정보통신업/사업체,정보통신업/종사자,금융 및 보험업/사업체,금융 및 보험업/종사자,부동산업/사업체,부동산업/종사자,전문 과학 및 기술서비스업/사업체,전문 과학 및 기술서비스업/종사자,사업시설관리 사업지원 및 임대 서비스업/사업체,사업시설관리 사업지원 및 임대 서비스업/종사자,공공행정 국방 및 사회보장 행정/사업체,공공행정 국방 및 사회보장 행정/종사자,교육서비스업/사업체,교육서비스업/종사자,보건업 및 사회복지서비스업/사업체,보건업 및 사회복지서비스업/종사자,예술 스포츠 및 여가 관련 서비스업/사업체,예술 스포츠 및 여가 관련 서비스업/종사자,협회 및 단체 수리 및 기타 개인서비스업/사업체,협회 및 단체 수리 및 기타 개인서비스업/종사자,
경상남도 함양군,77,320,7,34,412,"2,099",227,277,12,74,497,"1,950","1,074","1,936",212,522,934,"1,690",35,129,44,392,67,133,68,262,59,124,33,"1,308",152,"1,049",137,"1,660",71,304,427,726,
경상남도 거창군,68,423,13,157,535,"2,834",427,475,14,178,"1,167","3,970","1,682","2,996",418,869,"1,254","2,412",47,161,61,736,119,229,122,529,109,543,39,"1,709",303,"1,791",212,"2,652",130,422,638,984,
경상남도 합천군,56,467,9,44,398,"1,444",513,602,18,173,769,"4,258",991,"1,737",241,327,881,"1,575",31,137,54,423,69,167,73,293,78,295,50,"1,501",129,"1,004",147,"1,832",70,291,466,"1,121",
경상북도 포항시,62,295,14,52,"3,770","42,140",233,583,142,"2,068","5,928","22,883","14,946","28,478","6,884","14,019","10,572","21,198",383,"2,417",552,"5,636","1,728","3,718","1,292","7,626","1,170","10,073",135,"7,819","2,372","15,563","1,544","22,127","1,420","3,032","5,434","9,681",
경상북도 경주시,99,456,24,61,"4,946","41,374",313,"2,228",137,"1,433","2,530","8,351","7,212","13,631","2,674","5,397","7,338","15,229",180,776,237,"1,956",841,"1,607",624,"4,623",733,"4,998",84,"3,762","1,099","7,399",727,"10,840",745,"2,808","2,690","4,705",
경상북도 김천시,77,451,20,112,"1,273","14,052",633,751,76,494,"1,422","4,839","3,374","6,794","1,451","3,837","2,478","4,992",90,400,145,"1,285",410,"1,061",262,"3,832",261,"1,556",73,"4,118",557,"4,082",440,"6,653",331,631,"1,470","2,268",
경상북도 안동시,88,421,20,122,"1,132","5,146",477,955,48,413,"2,738","7,722","4,878","9,802","1,909","3,647","3,377","6,471",173,974,229,"2,031",417,"1,260",441,"2,425",356,"1,088",97,"7,115",782,"5,802",510,"9,133",459,"1,188","1,845","3,237",
경상북도 구미시,68,367,14,54,"6,449","86,818",769,"1,263",116,"1,108","3,706","13,208","10,221","20,166","4,737","8,188","7,431","15,622",330,"1,339",487,"4,509","1,501","4,996",907,"4,009","1,173","9,374",93,"4,191","2,169","13,475","1,214","13,995","1,241","2,615","4,158","6,785",
경상북도 영주시,36,192,10,121,907,"6,228",627,759,33,255,"1,768","4,077","3,559","7,029","1,063","2,515","2,197","4,490",76,321,127,"1,218",211,582,198,763,148,689,54,"1,943",469,"3,193",310,"4,287",245,718,"1,286","2,097",
경상북도 영천시,76,481,1,10,"2,204","17,472",503,570,113,680,"1,336","6,573","2,997","5,865","1,952","2,654","1,837","3,459",56,215,96,872,311,660,175,943,208,"1,168",59,"2,246",308,"2,250",337,"4,740",206,644,"1,023","1,814",
경상북도 상주시,95,375,14,49,"1,178","6,003","1,270","1,343",38,235,"1,595","4,407","2,509","4,697","1,162","1,997","1,721","3,118",76,273,110,910,178,388,180,911,155,451,67,"2,519",391,"2,815",337,"4,928",191,691,"1,074","1,713",
경상북도 문경시,55,226,5,63,682,"3,916",287,345,32,337,923,"2,472","2,130","4,015",492,908,"1,679","3,103",39,189,70,745,151,273,129,425,116,429,52,"1,589",258,"1,728",250,"5,141",169,476,799,"1,216",
경상북도 경산시,53,224,9,124,"4,379","35,856",350,591,101,629,"2,063","8,260","7,098","14,116","3,277","6,250","4,443","9,290",242,"1,039",186,"1,535","1,179","2,359",772,"4,164",641,"2,212",55,"2,768","1,161","14,188",783,"9,837",647,"1,612","2,436","4,095",
경상북도 군위군,31,138,2,20,356,"2,081",277,308,19,97,580,"2,460",531,"1,118",258,416,436,820,18,82,24,199,76,110,59,313,29,54,38,"1,215",52,383,71,"1,980",48,252,262,404,
경상북도 의성군,70,371,5,8,492,"1,959",425,507,30,198,845,"2,525","1,285","3,425",785,"1,046",818,"1,372",35,225,67,495,67,118,86,378,63,153,58,"1,645",106,879,191,"2,571",69,516,575,910,
경상북도 청송군,26,175,6,48,232,618,170,270,11,76,242,"2,136",746,"1,352",160,377,711,"1,187",19,90,29,182,37,49,31,123,27,79,38,"2,323",64,510,88,"3,244",56,182,288,436,
