행정구역(동읍면)별,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수
전북특별자치도 익산시_2018,10.0,12.0,12.0,12.0,13.0,20.0,26.0,26.0,3577.0,361.0,8.0,4161.0,15688.0
전북특별자치도 정읍시_2018,8.0,9.0,8.0,9.0,13.0,15.0,21.0,24.0,3577.0,361.0,3.0,1154.0,5248.0
전북특별자치도 남원시_2018,5.0,9.0,8.0,9.0,10.0,15.0,21.0,22.0,3577.0,361.0,2.0,526.0,4014.0
전북특별자치도 김제시_2018,9.0,8.0,8.0,7.0,12.0,12.0,21.0,18.0,3577.0,361.0,1.0,843.0,3713.0
전북특별자치도 완주군_2018,9.0,10.0,9.0,10.0,14.0,16.0,21.0,21.0,3577.0,361.0,2.0,1595.0,5052.0
전북특별자치도 진안군_2018,4.0,5.0,3.0,6.0,9.0,9.0,10.0,17.0,3577.0,361.0,0.0,189.0,904.0
전북특별자치도 무주군_2018,6.0,8.0,6.0,6.0,11.0,13.0,16.0,17.0,3577.0,361.0,0.0,202.0,1037.0
전북특별자치도 장수군_2018,7.0,7.0,4.0,5.0,12.0,13.0,13.0,16.0,3577.0,361.0,0.0,183.0,979.0
전북특별자치도 임실군_2018,4.0,5.0,4.0,8.0,9.0,9.0,11.0,24.0,3577.0,361.0,0.0,185.0,1001.0
전북특별자치도 순창군_2018,6.0,5.0,6.0,8.0,9.0,9.0,16.0,21.0,3577.0,361.0,0.0,206.0,1134.0
전북특별자치도 고창군_2018,7.0,6.0,7.0,9.0,10.0,12.0,18.0,20.0,3577.0,361.0,1.0,361.0,2130.0
전북특별자치도 부안군_2018,6.0,6.0,6.0,7.0,11.0,11.0,16.0,19.0,3577.0,361.0,1.0,471.0,1956.0
제주특별자치도 제주시_2018,12.0,15.0,13.0,13.0,24.0,23.0,27.0,30.0,803.0,44.0,60.0,4890.0,30597.0
