,행정구역,교원_1인당_학생수_유치원,교원_1인당_학생수_초등학교,교원_1인당_학생수_중학교,교원_1인당_학생수_고등학교,유치원_학급당 학생 수 (명),초등학교_학급당 학생 수 (명),중학교_학급당 학생 수 (명),고등학교_학급당 학생 수 (명),학교교과 교습학원 (개),평생직업 교육학원 (개),사설학원당 학생수 (명),유치원생 수,초등학생 수,종합병원,병원,의원,치과병(의)원,한방병원,한의원,인구 천명당 의료기관병상수(개),총병상수 (개),하수도보급률,상수도보급률,출생아수,합계출산율,남녀성비,인구증가율,주민등록인구,가구수,일반공공행정예산비중,소멸위험지수,소멸위험등급
983,경상남도 합천군_2019,6,5,5,5,10,9,16,15,30,2,65,238,1256,0,2,17,10,0,14,20.1,908.0,67.1,53.5,137,1.11,92.0,-1.42,45204,20312,10.8,0.0035757892356484,A
984,경상북도 포항시_2019,12,15,10,9,18,23,22,21,701,63,56,7948,27728,5,12,278,164,1,125,19.2,19.2,83.6,95.9,2701,1.014,102.1,-0.55,507025,204305,6.1,0.6433364804849665,C
985,경상북도 경주시_2019,12,12,9,9,17,20,21,21,315,28,51,2905,11792,1,10,114,60,1,68,16.7,16.7,94.5,93.8,1112,0.942,100.4,-0.36,255402,113433,7.7,0.2934010870195487,B
986,경상북도 김천시_2019,11,12,8,8,16,19,22,21,108,17,84,2113,6779,2,0,60,33,0,24,15.4,15.4,81.9,87.9,878,1.271,100.4,0.1,141229,58106,6.1,0.3148524809595508,B
987,경상북도 안동시_2019,11,12,10,8,17,20,22,21,226,26,52,2159,8479,3,2,76,45,1,42,33.3,33.3,80.1,92.9,868,1.17,98.1,-1.33,160052,68783,8.8,0.1680120541253308,B
988,경상북도 구미시_2019,13,16,11,12,18,25,24,27,758,64,61,9839,28266,3,7,208,109,2,92,9.0,9.0,98.0,99.9,2891,0.984,105.2,-0.46,419742,166709,6.0,3.186939644922659,D
989,경상북도 영주시_2019,11,12,7,9,15,20,18,23,154,15,41,915,4915,1,4,49,28,1,28,22.6,22.6,87.0,89.3,395,0.995,98.2,-1.67,105067,44659,8.9,0.0699230387545939,A
990,경상북도 영천시_2019,11,10,6,7,15,18,16,18,79,6,65,665,3573,1,3,58,21,1,36,18.4,18.4,71.7,95.6,654,1.549,103.4,0.72,102470,44131,17.3,0.2329478437609312,B
991,경상북도 상주시_2019,10,9,5,3,16,15,15,11,94,10,53,1245,3935,2,0,44,25,0,25,12.1,12.1,72.6,74.4,437,1.238,96.2,0.44,100688,42925,23.7,0.1988342646294701,B
992,경상북도 문경시_2019,9,10,7,5,15,16,19,19,76,9,53,721,2908,1,2,42,19,0,19,17.1,17.1,82.6,94.3,313,1.19,96.0,0.52,72242,30329,5.4,0.2202435814599241,B
993,경상북도 경산시_2019,10,14,10,11,16,22,22,24,328,25,53,4165,13424,1,4,148,75,0,66,13.8,13.8,93.2,99.3,1639,1.065,101.6,1.04,263185,116892,4.6,0.8390586141487374,C
994,대구광역시 군위군_2019,5,5,4,6,6,10,11,19,6,0,178,69,499,0,0,8,3,0,4,0.4,10.0,35.5,76.1,79,1.233,0.0,0.0,23843,10680,13.4,0.1118923881624716,A
995,경상북도 의성군_2019,6,6,4,5,7,11,14,15,16,1,126,166,1146,0,4,18,8,0,10,27.8,27.8,45.6,91.5,255,1.761,95.7,-0.64,52595,23969,13.9,0.0891557783471559,A
996,경상북도 청송군_2019,10,6,3,5,14,11,10,19,12,1,84,199,636,0,1,10,5,0,9,13.8,13.8,44.5,73.5,116,1.623,99.8,-1.0,25416,11593,6.9,0.0283429348935011,A
